"Consumer confidence index (CCI)"
"Amplitude adjusted, Long-term average = 100"
"Category","Slovak Rep.","Türkiye","Australia","France","Estonia","Colombia","Poland","Finland","Spain","Netherlands","Israel","Chile","Denmark","Portugal","Slovenia","Austria","Lithuania","Germany","Switzerland","United States","Mexico","Italy","United Kingdom","Hungary","Ireland","Greece","Belgium","Sweden","New Zealand","Czechia","Luxembourg","Korea","Japan","Latvia","Costa Rica"
"2008-01-01 00:00:00",102.5981,101.0638,100.5403,98.92989,101.45,103.7084,102.0736,99.73682,97.89973,100.2461,,101.0266,100.4922,98.36118,98.73847,99.17995,102.681,99.96313,100.8064,98.80503,101.1305,99.32534,100.368,98.40992,99.55706,100.6585,99.90253,100.1102,99.65593,99.79254,100.3396,100.3801,99.17532,102.3827,104.1052
"2008-02-01 00:00:00",102.2985,99.60146,99.75289,98.68825,101.244,103.4146,101.9297,99.52052,97.68746,100.0761,,100.8713,100.3193,98.23943,98.72359,98.99154,102.6657,99.91254,100.5456,98.4235,100.9171,99.26405,99.92266,98.30694,99.50904,100.4392,99.89112,99.81666,99.12383,100.4053,100.1292,100.0963,98.91379,102.1686,103.4439
"2008-03-01 00:00:00",102.1119,97.82418,99.0622,98.44277,101.2164,103.3549,101.8978,99.23864,97.35843,99.93835,,100.4432,100.2431,98.19326,99.03795,98.80967,102.3118,99.88731,100.3417,97.96352,100.511,99.30145,99.28126,98.07679,99.37395,100.2015,99.79784,99.66965,98.53263,100.8705,99.51487,99.721,98.60608,101.833,102.2869
"2008-04-01 00:00:00",101.8523,96.29987,98.6748,98.10062,100.9484,103.0613,102.0769,98.826,96.58147,99.69975,,99.86942,100.0595,98.12683,99.14243,98.52813,101.4246,99.82083,100.131,97.44503,99.81664,99.4637,98.36311,97.84072,99.19849,99.89886,99.53434,99.37486,97.94161,100.8771,98.74842,99.24564,98.19432,101.4818,100.8949
"2008-05-01 00:00:00",101.5915,95.57038,98.49055,97.67709,100.4749,102.4551,102.1295,98.23448,95.4823,99.4442,,99.30112,99.82996,97.76411,98.80939,98.18125,100.2365,99.557,99.80468,97.07277,99.02462,99.55063,97.4175,97.82109,99.03375,99.5169,99.17769,98.91501,97.48487,100.5181,98.04727,98.56779,97.76508,101.3691,99.55898
"2008-06-01 00:00:00",101.6308,95.58448,98.27308,97.32736,100.03,101.9551,101.9681,97.69923,94.43446,99.16997,,98.63262,99.47977,97.22684,98.39649,97.78305,99.11614,99.16647,99.27679,96.9557,98.25614,99.24911,96.53539,98.07742,98.5425,99.16547,98.87153,98.37748,97.38846,100.153,97.51044,97.92336,97.40023,101.4061,98.49561
"2008-07-01 00:00:00",101.6786,96.09703,98.15942,97.27851,99.59195,101.9198,101.7838,97.34197,93.9752,98.89902,,98.13741,99.22943,97.22012,98.47727,97.57204,98.47398,98.76847,98.66726,97.15505,97.66983,98.92809,95.9671,98.30655,98.16756,99.09142,98.80125,98.0509,97.85316,100.2482,97.41016,97.58295,97.12555,101.4542,97.6858
"2008-08-01 00:00:00",101.762,96.54485,98.33521,97.42905,99.26965,101.7176,101.8847,97.2304,93.99402,98.96584,,98.03479,99.11694,97.6025,98.79518,97.59268,98.15034,98.537,98.14503,97.4076,97.3379,99.1132,95.97472,98.26923,98.01357,98.88383,98.98515,98.0802,98.577,100.4434,97.50025,97.90457,96.95497,100.9572,97.14652
"2008-09-01 00:00:00",101.8468,96.26799,98.49756,97.55302,98.63819,101.2365,101.9144,97.18642,93.9101,99.08907,,98.40063,99.18761,97.94349,98.99329,97.71927,97.60707,98.42617,97.85254,97.48225,97.03284,99.51259,96.14456,98.03653,97.74837,98.48344,99.15403,98.1963,99.18636,100.3434,97.30531,97.78329,96.87153,100.2773,96.94853
"2008-10-01 00:00:00",101.6445,95.08929,98.43855,97.56331,98.01878,100.598,101.6367,96.89774,93.63956,99.07982,,98.95512,99.4248,97.81006,98.45849,97.66928,96.42439,98.22874,97.74294,97.13585,96.72337,99.7136,96.18327,97.61259,97.15475,98.04781,99.10133,98.23183,99.40786,99.8859,96.72366,97.01416,96.70415,99.26594,96.96372
"2008-11-01 00:00:00",100.9908,93.92149,98.53355,97.64639,97.54292,100.146,101.1681,96.62066,93.45404,99.04028,,99.4165,99.861,97.40926,97.7173,97.59143,94.70554,98.01364,97.78075,96.884,96.51022,99.61029,96.09959,97.27702,96.81226,98.07491,99.01013,98.36834,99.35486,99.37655,96.34837,96.22588,96.50491,97.67368,97.10398
